id,대분류코드,대분류명,항목,파일명,검색키워드,보유확장자,링크
1,01_BS,기본시스템(로고·심벌·서체),BS1_심벌마크,BS1_심벌마크_PANTONE,"기본시스템(로고·심벌·서체), 심벌마크","AI(1), PNG(1)",https://drive.google.com/drive/folders/13EOIbOnNtL_UXtIUSWnu9qxYiWLsT9sG?usp=sharing
2,01_BS,기본시스템(로고·심벌·서체),BS1_심벌마크,BS1_심벌마크_CMYK,"기본시스템(로고·심벌·서체), 심벌마크","AI(1), PNG(1)",https://drive.google.com/drive/folders/13EOIbOnNtL_UXtIUSWnu9qxYiWLsT9sG?usp=sharing
3,01_BS,기본시스템(로고·심벌·서체),BS1_심벌마크,BS1_심벌마크_RGB,"기본시스템(로고·심벌·서체), 심벌마크","AI(1), PNG(1)",https://drive.google.com/drive/folders/13EOIbOnNtL_UXtIUSWnu9qxYiWLsT9sG?usp=sharing
4,01_BS,기본시스템(로고·심벌·서체),BS3_워드마크,BS3_워드마크_PANTONE,"기본시스템(로고·심벌·서체), 워드마크","AI(1), PNG(5)",https://drive.google.com/drive/folders/1IydwACd0cvdB2y6fB0wh_mHAHqM7cWem?usp=sharing
5,01_BS,기본시스템(로고·심벌·서체),BS3_워드마크,BS3_워드마크_CMYK,"기본시스템(로고·심벌·서체), 워드마크","AI(1), PNG(5)",https://drive.google.com/drive/folders/1IydwACd0cvdB2y6fB0wh_mHAHqM7cWem?usp=sharing
6,01_BS,기본시스템(로고·심벌·서체),BS3_워드마크,BS3_워드마크_RGB,"기본시스템(로고·심벌·서체), 워드마크","AI(1), PNG(5)",https://drive.google.com/drive/folders/1IydwACd0cvdB2y6fB0wh_mHAHqM7cWem?usp=sharing
7,01_BS,기본시스템(로고·심벌·서체),BS4_로고,BS4_로고_PANTONE,"기본시스템(로고·심벌·서체), 로고","AI(1), PNG(10)",https://drive.google.com/drive/folders/1OKh9Wc0-cWhVVqOqXahnI0bjyBSUUVLU?usp=sharing
8,01_BS,기본시스템(로고·심벌·서체),BS4_로고,BS4_로고_CMYK,"기본시스템(로고·심벌·서체), 로고","AI(1), PNG(10)",https://drive.google.com/drive/folders/1OKh9Wc0-cWhVVqOqXahnI0bjyBSUUVLU?usp=sharing
9,01_BS,기본시스템(로고·심벌·서체),BS4_로고,BS4_로고_RGB,"기본시스템(로고·심벌·서체), 로고","AI(1), PNG(10)",https://drive.google.com/drive/folders/1OKh9Wc0-cWhVVqOqXahnI0bjyBSUUVLU?usp=sharing
10,01_BS,기본시스템(로고·심벌·서체),BS6_하나투어약속,BS6_하나투어약속_PANTONE,"기본시스템(로고·심벌·서체), 하나투어약속","AI(1), PNG(3)",https://drive.google.com/drive/folders/1gJqp-MXO-bbb4xZXyquBlM0Zyj7pKzir?usp=sharing
11,01_BS,기본시스템(로고·심벌·서체),BS6_하나투어약속,BS6_하나투어약속_CMYK,"기본시스템(로고·심벌·서체), 하나투어약속","AI(1), PNG(3)",https://drive.google.com/drive/folders/1gJqp-MXO-bbb4xZXyquBlM0Zyj7pKzir?usp=sharing
